epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,476.493,0.49159,0.89062,1,0.20355,0.000235264,0.000235264,0.000235264
2,933.004,0.22374,0.94792,1,0.12531,0.00043422,0.00043422,0.00043422
3,1335.99,0.18042,0.92708,1,0.15798,0.000593906,0.000593906,0.000593906
4,1715.77,0.1537,0.98438,1,0.05418,0.000537285,0.000537285,0.000537285
5,2101.24,0.09423,0.97396,1,0.05947,0.00047838,0.00047838,0.00047838
6,2463.2,0.1097,0.97917,1,0.05549,0.000419475,0.000419475,0.000419475
7,2805.11,0.12449,0.98438,1,0.03776,0.00036057,0.00036057,0.00036057
8,3189.65,0.06378,0.98438,1,0.04817,0.000301665,0.000301665,0.000301665
9,3566.78,0.0681,0.98438,1,0.03656,0.00024276,0.00024276,0.00024276
10,3949.51,0.05064,0.98438,1,0.02652,0.000183855,0.000183855,0.000183855
11,4297.35,0.05226,0.98438,1,0.02759,0.00012495,0.00012495,0.00012495
12,4638.64,0.04451,0.98958,1,0.02376,6.6045e-05,6.6045e-05,6.6045e-05
