epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.002,2.26649,4.20327,1.64427,0.00178,0.1164,0.07422,0.04151,1.80575,4.45258,1.45451,0.00020006,0.00020006,0.00020006
2,522.17,1.49407,3.07366,1.1813,0.00415,0.46308,0.19733,0.09487,1.62788,3.93142,1.20492,0.000397999,0.000397999,0.000397999
3,744.304,1.47967,2.48982,1.13184,0.00481,0.40935,0.17654,0.08495,1.74528,3.89655,1.23348,0.000578962,0.000578962,0.000578962
4,986.731,1.38507,2.12078,1.11575,0.79632,0.03471,0.21527,0.13187,1.58303,3.68077,1.21773,0.000742949,0.000742949,0.000742949
5,1190.06,1.34809,1.88962,1.10408,0.7169,0.16414,0.31425,0.17864,1.44554,3.27392,1.12213,0.000889958,0.000889958,0.000889958
6,1366.54,1.35751,1.76597,1.11719,0.63583,0.39841,0.40912,0.23787,1.5522,2.81923,1.16379,0.00101999,0.00101999,0.00101999
7,1542,1.35733,1.65684,1.11309,0.75559,0.45696,0.58791,0.31232,1.54191,2.39741,1.15511,0.00108947,0.00108947,0.00108947
8,1760.72,1.29937,1.60779,1.1118,0.66342,0.64382,0.68503,0.40887,1.38973,1.98538,1.11485,0.00103288,0.00103288,0.00103288
9,1988.73,1.23826,1.40545,1.07576,0.76596,0.62196,0.68338,0.4216,1.3601,2.03131,1.11625,0.000976293,0.000976293,0.000976293
10,2244.52,1.20798,1.37512,1.06393,0.64712,0.5655,0.58435,0.36175,1.34894,2.14855,1.10374,0.000919704,0.000919704,0.000919704
11,2495.11,1.18428,1.29161,1.04043,0.70617,0.69112,0.74445,0.4735,1.34136,1.65269,1.07808,0.000863116,0.000863116,0.000863116
12,2716.87,1.16205,1.28821,1.05371,0.68061,0.83139,0.75833,0.49161,1.27262,1.56895,1.08629,0.000806528,0.000806528,0.000806528
13,2937.59,1.16137,1.20137,1.04937,0.69184,0.76479,0.74214,0.49516,1.25668,1.51283,1.05284,0.000749939,0.000749939,0.000749939
14,3191.45,1.15829,1.22612,1.03929,0.82289,0.75511,0.8164,0.55045,1.19366,1.40794,1.01909,0.000693351,0.000693351,0.000693351
15,3414.15,1.13482,1.17649,1.01318,0.73676,0.79615,0.80145,0.54847,1.16955,1.39903,1.01325,0.000636762,0.000636762,0.000636762
16,3641.59,1.11272,1.38431,1.02544,0.80325,0.76544,0.82076,0.55136,1.17763,1.4047,1.02448,0.000580174,0.000580174,0.000580174
17,3887.58,1.057,1.26841,1.02189,0.83235,0.7482,0.79627,0.52695,1.17111,1.35006,1.03694,0.000523586,0.000523586,0.000523586
18,4059.96,1.03495,1.2046,1.03063,0.77499,0.86326,0.83612,0.57785,1.1114,1.29398,1.00435,0.000466997,0.000466997,0.000466997
19,4197.69,1.02091,1.21874,1.01924,0.80887,0.80012,0.80457,0.56045,1.13229,1.25094,1.01606,0.000410409,0.000410409,0.000410409
20,4336.29,1.00354,1.14835,0.9965,0.84376,0.82556,0.82627,0.569,1.17283,1.22579,1.00513,0.00035382,0.00035382,0.00035382
21,4472.87,1.00865,1.1342,1.00145,0.81564,0.81928,0.82682,0.5587,1.1978,1.25787,1.00396,0.000297232,0.000297232,0.000297232
22,4615.21,0.99288,1.13539,1.01397,0.83569,0.85932,0.84609,0.57943,1.1285,1.17969,0.99668,0.000240644,0.000240644,0.000240644
23,4764.55,0.9685,1.07514,0.96953,0.85631,0.86359,0.85267,0.58331,1.13183,1.13542,0.98893,0.000184055,0.000184055,0.000184055
24,4903.56,0.95313,1.06353,0.95758,0.84105,0.86767,0.84572,0.59694,1.09311,1.12805,0.97931,0.000127467,0.000127467,0.000127467
25,5041.41,0.93395,1.02325,0.97687,0.86624,0.86475,0.84854,0.5987,1.07435,1.11221,0.97874,7.08784e-05,7.08784e-05,7.08784e-05
